,lat,long,gridX,gridY,grid
"1765 PEKRUL PL, Port Coquitlam, BC, Canada",49.248697,-122.7650351,4,3,"[4,3]"
"1870 CONNAUGHT AVE, Port Coquitlam, BC, Canada",49.2471973,-122.7688562,4,3,"[4,3]"
"1708 MORGAN AVE, Port Coquitlam, BC, Canada",49.2489959,-122.7627874,5,3,"[5,3]"
"1914 TAYLOR ST, Port Coquitlam, BC, Canada",49.2512608,-122.7695866,3,4,"[3,4]"
"1903 WARWICK CRES, Port Coquitlam, BC, Canada",49.2510361,-122.7727763,3,4,"[3,4]"
"1937 TYLER AVE, Port Coquitlam, BC, Canada",49.252339,-122.771903,3,4,"[3,4]"
"1944 LEACOCK ST, Port Coquitlam, BC, Canada",49.2518941,-122.7710763,3,4,"[3,4]"
"1632 TAYLOR ST, Port Coquitlam, BC, Canada",49.2457108,-122.7694909,3,3,"[3,3]"
"1776 PEKRUL PL, Port Coquitlam, BC, Canada",49.24834269999999,-122.7656749,4,3,"[4,3]"
"1720 WARWICK AVE, Port Coquitlam, BC, Canada",49.25085800000001,-122.764008,4,3,"[4,3]"
"1979 WADDELL AVE, Port Coquitlam, BC, Canada",49.246769,-122.771772,3,3,"[3,3]"
"1770 BROWN ST, Port Coquitlam, BC, Canada",49.2484738,-122.7665291,4,3,"[4,3]"
"1826 TAYLOR ST, Port Coquitlam, BC, Canada",49.2508018,-122.7694986,3,3,"[3,3]"
"1945 ANDERSON WAY, Port Coquitlam, BC, Canada",49.251937,-122.76604,4,4,"[4,4]"
"1980 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.2423048,-122.7712864,3,2,"[3,2]"
"1974 MCLEAN AVE, Port Coquitlam, BC, Canada",49.2531358,-122.7723902,3,4,"[3,4]"
"1928 MERCER AVE, Port Coquitlam, BC, Canada",49.24521499999999,-122.7699356,3,3,"[3,3]"
"1931 TAYLOR ST, Port Coquitlam, BC, Canada",49.2516434,-122.7688028,4,4,"[4,4]"
"1817 MORGAN AVE, Port Coquitlam, BC, Canada",49.2494138,-122.7674583,4,3,"[4,3]"
"1918 TAYLOR ST, Port Coquitlam, BC, Canada",49.2513667,-122.769533,3,4,"[3,4]"
"1761 MORGAN AVE, Port Coquitlam, BC, Canada",49.2493479,-122.7654018,4,3,"[4,3]"
"1932 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.2423209,-122.7699839,3,2,"[3,2]"
"1732 BROWN ST, Port Coquitlam, BC, Canada",49.2481638,-122.7663763,4,3,"[4,3]"
"1679 MAGELLAN ST, Port Coquitlam, BC, Canada",49.2467172,-122.7702946,3,3,"[3,3]"
"1735 WARWICK AVE, Port Coquitlam, BC, Canada",49.2512658,-122.7651184,4,4,"[4,4]"
"1946 CONNAUGHT AVE, Port Coquitlam, BC, Canada",49.2471812,-122.7701589,3,3,"[3,3]"
"1603 KNAPPEN ST, Port Coquitlam, BC, Canada",49.2450762,-122.7716237,3,2,"[3,2]"
"1639 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2458589,-122.7730263,3,3,"[3,3]"
"1727 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2478091,-122.7717094,3,3,"[3,3]"
"1917 TYLER AVE, Port Coquitlam, BC, Canada",49.252449,-122.770864,3,4,"[3,4]"
"1532 KNAPPEN ST, Port Coquitlam, BC, Canada",49.24295859999999,-122.7722932,3,2,"[3,2]"
"1923 BROWN ST, Port Coquitlam, BC, Canada",49.2514309,-122.767129,4,4,"[4,4]"
"1959 TAYLOR ST, Port Coquitlam, BC, Canada",49.252675,-122.768727,4,4,"[4,4]"
"1742 ANDERSON WAY, Port Coquitlam, BC, Canada",49.2515913,-122.7643742,4,4,"[4,4]"
"1935 LEACOCK ST, Port Coquitlam, BC, Canada",49.25168240000001,-122.770489,3,4,"[3,4]"
"1936 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2517027,-122.7729298,3,4,"[3,4]"
"1485 MORRISON ST, Port Coquitlam, BC, Canada",49.2424672,-122.7679941,4,2,"[4,2]"
"1743 MORGAN AVE, Port Coquitlam, BC, Canada",49.249422,-122.7641239,4,3,"[4,3]"
"1733 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2479482,-122.7716333,3,3,"[3,3]"
"1869 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.2427516,-122.7689093,3,2,"[3,2]"
"1815 MORGAN AVE, Port Coquitlam, BC, Canada",49.2494388,-122.7671015,4,3,"[4,3]"
"1928 LANGAN AVE, Port Coquitlam, BC, Canada",49.249887,-122.770137,3,3,"[3,3]"
"1985 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.24271400000001,-122.7714539,3,2,"[3,2]"
"1855 POOLEY AVE, Port Coquitlam, BC, Canada",49.2448691,-122.7682394,4,2,"[4,2]"
"1760 LANGAN AVE, Port Coquitlam, BC, Canada",49.2498438,-122.7650937,4,3,"[4,3]"
"1969 MORGAN AVE, Port Coquitlam, BC, Canada",49.249477,-122.770938,3,3,"[3,3]"
"1728 PEKRUL PL, Port Coquitlam, BC, Canada",49.248549,-122.76356,4,3,"[4,3]"
"1947 CAMERON AVE, Port Coquitlam, BC, Canada",49.2484674,-122.7704314,3,3,"[3,3]"
"1968 LANGAN AVE, Port Coquitlam, BC, Canada",49.249888,-122.7710171,3,3,"[3,3]"
"1809 TAYLOR ST, Port Coquitlam, BC, Canada",49.250674,-122.768787,4,3,"[4,3]"
"1934 MCLEAN AVE, Port Coquitlam, BC, Canada",49.253047,-122.7707407,3,4,"[3,4]"
"1638 CONNAUGHT DR, Port Coquitlam, BC, Canada",49.2454802,-122.7677112,4,3,"[4,3]"
"1664 TAYLOR ST, Port Coquitlam, BC, Canada",49.2464535,-122.7695233,3,3,"[3,3]"
"1877 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2507287,-122.7719641,3,3,"[3,3]"
"1910 MCLEAN AVE, Port Coquitlam, BC, Canada",49.2531127,-122.7695674,3,4,"[3,4]"
"1932 LEACOCK ST, Port Coquitlam, BC, Canada",49.2514721,-122.7711499,3,4,"[3,4]"
"1937 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.242753,-122.7701568,3,2,"[3,2]"
"1923 HOMFELD PL, Port Coquitlam, BC, Canada",49.2516233,-122.7683094,4,4,"[4,4]"
"1755 PITT RIVER RD, Port Coquitlam, BC, Canada",49.248368,-122.7716646,3,3,"[3,3]"
"1907 POOLEY AVE, Port Coquitlam, BC, Canada",49.24485670000001,-122.7693914,3,2,"[3,2]"
"1646 TAYLOR ST, Port Coquitlam, BC, Canada",49.2460171,-122.7695204,3,3,"[3,3]"
"1761 ANDERSON WAY, Port Coquitlam, BC, Canada",49.25202600000001,-122.7650956,4,4,"[4,4]"
"1969 PITT RIVER RD, Port Coquitlam, BC, Canada",49.252828,-122.772794,3,4,"[3,4]"
"1959 POOLEY AVE, Port Coquitlam, BC, Canada",49.2448719,-122.770735,3,2,"[3,2]"
"1959 LANGAN AVE, Port Coquitlam, BC, Canada",49.2504739,-122.7708351,3,3,"[3,3]"
"1916 LANGAN AVE, Port Coquitlam, BC, Canada",49.2498829,-122.769654,3,3,"[3,3]"
"1738 WARWICK AVE, Port Coquitlam, BC, Canada",49.25086599999999,-122.7646469,4,3,"[4,3]"
"1961 WADDELL AVE, Port Coquitlam, BC, Canada",49.246771,-122.77111,3,3,"[3,3]"
"1949 PITT RIVER RD, Port Coquitlam, BC, Canada",49.25205589999999,-122.7723772,3,4,"[3,4]"
"1965 TAYLOR ST, Port Coquitlam, BC, Canada",49.253009,-122.768726,4,4,"[4,4]"
"1562 KNAPPEN ST, Port Coquitlam, BC, Canada",49.243598,-122.7723,3,2,"[3,2]"
"1959 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2525193,-122.7725912,3,4,"[3,4]"
"1870 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2505629,-122.7726144,3,3,"[3,3]"
"1949 TAYLOR ST, Port Coquitlam, BC, Canada",49.2520792,-122.7688251,4,4,"[4,4]"
